,country,region,ladder_score,Std Err,upperwhisker,lowerwhisker,GDP_per_capita,Social support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,eb_GDP_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption,dystopia_plus_residual,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
0,Finland,Western Europe,7.8420000000000005,0.032,7.904,7.78,10.775,0.9540000000000001,72.0,0.9490000000000001,-0.098,0.18600000000000003,2.43,1.446,1.1059999999999999,0.741,0.691,0.124,0.48100000000000004,3.253,Europe,95742,969.0,46000.0,48773.0,7.0,17253,175.0,5420876.0,976859.0,5549294
1,Denmark,Western Europe,7.62,0.035,7.687,7.5520000000000005,10.933,0.9540000000000001,72.7,0.946,0.03,0.179,2.43,1.5019999999999998,1.1079999999999999,0.763,0.6859999999999999,0.20800000000000002,0.485,2.8680000000000003,Europe,293677,2534.0,288190.0,2953.0,12.0,50525,436.0,68626438.0,11806675.0,5812512
2,Switzerland,Western Europe,7.571000000000001,0.036000000000000004,7.643,7.5,11.117,0.9420000000000001,74.4,0.919,0.025,0.292,2.43,1.5659999999999998,1.079,0.816,0.653,0.204,0.413,2.839,Europe,703004,10891.0,683865.0,8248.0,41.0,80642,1249.0,8306968.0,952897.0,8717589
3,Iceland,Western Europe,7.553999999999999,0.059000000000000004,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.6729999999999999,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,Europe,6649,30.0,6596.0,23.0,1.0,19360,87.0,767476.0,2234627.0,343447
4,Netherlands,Western Europe,7.4639999999999995,0.027000000000000003,7.518,7.41,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,Europe,1685000,17745.0,1631715.0,35540.0,137.0,98121,1033.0,14730069.0,857764.0,17172634
5,Norway,Western Europe,7.392,0.035,7.462000000000001,7.3229999999999995,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27,2.43,1.5430000000000001,1.1079999999999999,0.782,0.703,0.249,0.42700000000000005,2.58,Europe,131316,794.0,88952.0,41570.0,6.0,24036,145.0,6043353.0,1106151.0,5463409
6,Sweden,Western Europe,7.3629999999999995,0.036000000000000004,7.433,7.292999999999999,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.4780000000000002,1.062,0.763,0.685,0.244,0.44799999999999995,2.6830000000000003,Europe,1089990,14591.0,1058396.0,17003.0,41.0,107262,1436.0,10828578.0,1065602.0,10161931
7,Luxembourg,Western Europe,7.324,0.037000000000000005,7.396,7.252000000000001,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,Europe,70787,818.0,69706.0,263.0,1.0,111285,1286.0,3084578.0,4849302.0,636087
9,Austria,Western Europe,7.268,0.036000000000000004,7.337000000000001,7.1979999999999995,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,Europe,650412,10702.0,637751.0,1959.0,60.0,71809,1182.0,55096277.0,6082917.0,9057542
10,Australia,North America and ANZ,7.183,0.040999999999999995,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.0759999999999998,0.8009999999999999,0.647,0.29100000000000004,0.317,2.5980000000000003,Australia/Oceania,30642,910.0,29358.0,374.0,1.0,1188,35.0,20804647.0,806572.0,25793922
